half_width,lt_center,lt_lo,lt_hi,n_obs_SSW前,n_obs_SSW中,n_obs_SSW後,n_days_SSW前,n_days_SSW中,n_days_SSW後,min_obs_across_phases
1.0,7.0,6.0,8.0,1835,15247,4670,5,16,9,1835
1.0,7.5,6.5,8.5,7020,14170,313,11,16,3,313
1.0,19.0,18.0,20.0,1811,15269,4670,5,16,9,1811
1.0,19.5,18.5,20.5,6987,14207,301,11,16,3,301
1.5,6.5,5.0,8.0,1835,15247,15849,5,16,20,1835
1.5,7.0,5.5,8.5,7020,15342,10240,11,16,14,7020
1.5,7.5,6.0,9.0,12219,15342,4670,16,16,9,4670
1.5,8.0,6.5,9.5,17363,14170,313,21,16,3,313
1.5,18.5,17.0,20.0,1811,15269,15845,5,16,20,1811
1.5,19.0,17.5,20.5,6987,15365,10243,11,16,14,6987
1.5,19.5,18.0,21.0,12198,15365,4670,16,16,9,4670
1.5,20.0,18.5,21.5,17328,14207,301,21,16,3,301
