half_width,lt_center,lt_lo,lt_hi,n_obs_SSW前,n_obs_SSW中,n_obs_SSW後,n_days_SSW前,n_days_SSW中,n_days_SSW後,min_obs_across_phases
1.0,1.0,0.0,2.0,327,14451,8210,3,16,12,327
1.0,1.5,0.5,2.5,5026,15291,2364,8,16,6,2364
1.0,13.0,12.0,14.0,336,14420,8218,3,16,12,336
1.0,13.5,12.5,14.5,5075,15242,2372,8,16,6,2372
1.5,0.5,-1.0,2.0,327,14451,18924,3,16,20,327
1.5,1.0,-0.5,2.5,5026,15309,14108,8,16,18,5026
1.5,1.5,0.0,3.0,10429,15309,8210,14,16,12,8210
1.5,2.0,0.5,3.5,15826,15291,2364,20,16,6,2364
1.5,12.5,11.0,14.0,336,14420,18926,3,16,20,336
1.5,13.0,11.5,14.5,5075,15257,14125,8,16,18,5075
1.5,13.5,12.0,15.0,10567,15257,8218,14,16,12,8218
1.5,14.0,12.5,15.5,15981,15242,2372,20,16,6,2372
