half_width,lt_center,lt_lo,lt_hi,n_obs_SSW前,n_obs_SSW中,n_obs_SSW後,n_days_SSW前,n_days_SSW中,n_days_SSW後,min_obs_across_phases
1.0,7.0,6.0,8.0,1050,15022,5722,4,16,10,1050
1.0,7.5,6.5,8.5,6015,14780,753,10,16,4,753
1.0,19.0,18.0,20.0,1037,15032,5728,4,16,10,1037
1.0,19.5,18.5,20.5,5995,14810,743,10,16,4,743
1.5,6.5,5.0,8.0,1050,15022,16866,4,16,20,1050
1.5,7.0,5.5,8.5,6015,15343,11303,10,16,15,6015
1.5,7.5,6.0,9.0,11237,15343,5722,15,16,10,5722
1.5,8.0,6.5,9.5,16387,14780,753,21,16,4,753
1.5,18.5,17.0,20.0,1037,15032,16861,4,16,20,1037
1.5,19.0,17.5,20.5,5995,15364,11306,10,16,16,5995
1.5,19.5,18.0,21.0,11214,15364,5728,15,16,10,5728
1.5,20.0,18.5,21.5,16365,14810,743,20,16,4,743
