half_width,lt_center,lt_lo,lt_hi,n_obs_SSW前,n_obs_SSW中,n_obs_SSW後,n_days_SSW前,n_days_SSW中,n_days_SSW後,min_obs_across_phases
1.0,4.0,3.0,5.0,1932,13937,3728,6,15,4,1932
1.0,4.5,3.5,5.5,7350,13695,1178,12,15,4,1178
1.0,16.0,15.0,17.0,1950,14178,3829,6,15,4,1950
1.0,16.5,15.5,17.5,7424,13957,1147,11,15,4,1147
1.5,3.5,2.0,5.0,1932,13937,3747,6,15,4,1932
1.5,4.0,2.5,5.5,7350,14035,3747,12,15,4,3747
1.5,4.5,3.0,6.0,12739,14035,3728,15,15,4,3728
1.5,5.0,3.5,6.5,14236,13695,1178,15,15,4,1178
1.5,15.5,14.0,17.0,1950,14178,3852,6,15,4,1950
1.5,16.0,14.5,17.5,7424,14283,3852,11,15,4,3852
1.5,16.5,15.0,18.0,12831,14283,3829,15,15,4,3829
1.5,17.0,15.5,18.5,14330,13957,1147,15,15,4,1147
