half_width,lt_center,lt_lo,lt_hi,n_obs_SSW前,n_obs_SSW中,n_obs_SSW後,n_days_SSW前,n_days_SSW中,n_days_SSW後,min_obs_across_phases
1.0,0.5,-0.5,1.5,322,13094,3776,3,15,4,322
1.0,1.0,0.0,2.0,5145,14018,3383,9,15,4,3383
1.0,12.5,11.5,13.5,330,13421,3845,3,15,4,330
1.0,13.0,12.0,14.0,5323,14374,3440,9,15,4,3440
1.5,0.5,-1.0,2.0,5145,14018,3776,9,15,4,3776
1.5,1.0,-0.5,2.5,10098,14018,3776,15,15,4,3776
1.5,1.5,0.0,3.0,12606,14018,3383,15,15,4,3383
1.5,12.0,10.5,13.5,330,13421,3845,3,15,4,330
1.5,12.5,11.0,14.0,5323,14374,3845,9,15,4,3845
1.5,13.0,11.5,14.5,11198,14374,3845,15,15,4,3845
1.5,13.5,12.0,15.0,14310,14374,3440,15,15,4,3440
