half_width,lt_center,lt_lo,lt_hi,n_obs_SSW前,n_obs_SSW中,n_obs_SSW後,n_days_SSW前,n_days_SSW中,n_days_SSW後,min_obs_across_phases
1.0,4.0,3.0,5.0,1108,13663,3774,4,15,4,1108
1.0,4.5,3.5,5.5,6282,13912,1909,10,15,4,1909
1.0,16.0,15.0,17.0,1114,13925,3852,5,15,4,1114
1.0,16.5,15.5,17.5,6362,14195,1924,10,15,4,1924
1.5,3.5,2.0,5.0,1108,13663,3774,4,15,4,1108
1.5,4.0,2.5,5.5,6282,14006,3774,10,15,4,3774
1.5,4.5,3.0,6.0,11807,14006,3774,15,15,4,3774
1.5,5.0,3.5,6.5,14218,13912,1909,15,15,4,1909
1.5,15.5,14.0,17.0,1114,13925,3852,5,15,4,1114
1.5,16.0,14.5,17.5,6362,14286,3852,10,15,4,3852
1.5,16.5,15.0,18.0,11915,14286,3852,15,15,4,3852
1.5,17.0,15.5,18.5,14328,14195,1924,15,15,4,1924
