event,sat,lt_center,half_width,ratio_med_SSW前,n_days_SSW前,n_obs_SSW前,Ap_med_SSW前,ratio_med_SSW中,n_days_SSW中,n_obs_SSW中,Ap_med_SSW中,ratio_med_SSW後,n_days_SSW後,n_obs_SSW後,Ap_med_SSW後,delta_ratio,relative_change
2018_NH,A,7.0,1.0,0.7409387520590697,6,1835,3.0,0.6926857695408338,17,16205,7.0,0.7270577298936308,8,3712,4.0,-0.04825298251823584,-6.5124117727869875
2018_NH,A,7.5,1.0,0.6831302044768569,11,7020,3.0,0.6926857695408338,17,14387,7.0,0.8336546606069104,2,96,5.0,0.009555565063976923,1.3987911823185453
2018_NH,A,19.0,1.0,0.6415555976125313,5,1811,2.0,0.6463839928979243,17,16224,7.0,0.6929598725310707,8,3715,4.0,0.004828395285392917,0.7526074596435889
2018_NH,A,19.5,1.0,0.6539918637167659,11,6987,3.0,0.6458783096327465,17,14410,7.0,0.8113660039497232,2,98,5.0,-0.00811355408401937,-1.2406200343087492
2018_NH,A,6.5,1.5,0.7409387520590697,6,1835,3.0,0.6926857695408338,17,16205,7.0,0.6654065674042031,19,14891,6.0,-0.04825298251823584,-6.5124117727869875
2018_NH,A,7.0,1.5,0.6831302044768569,11,7020,3.0,0.6926857695408338,17,16300,7.0,0.6545571173055589,13,9282,4.0,0.009555565063976923,1.3987911823185453
2018_NH,A,7.5,1.5,0.6949070686803352,16,12219,3.0,0.6926857695408338,17,16300,7.0,0.7270577298936308,8,3712,4.0,-0.0022212991395014203,-0.31965412925210035
2018_NH,A,8.0,1.5,0.7155006009323146,22,17363,4.0,0.6926857695408338,17,14387,7.0,0.8336546606069104,2,96,5.0,-0.022814831391480772,-3.188653002073303
2018_NH,A,18.5,1.5,0.6415555976125313,5,1811,2.0,0.6463839928979243,17,16224,7.0,0.7055068168509648,19,14890,6.0,0.004828395285392917,0.7526074596435889
2018_NH,A,19.0,1.5,0.6539918637167659,11,6987,3.0,0.6463839928979243,17,16320,7.0,0.6846348492865797,14,9288,4.0,-0.007607870818841622,-1.1632974721741305
2018_NH,A,19.5,1.5,0.6605414618116914,16,12198,3.0,0.6463839928979243,17,16320,7.0,0.6929598725310707,8,3715,4.0,-0.014157468913767124,-2.143312680923452
2018_NH,A,20.0,1.5,0.6844858189543351,22,17328,4.0,0.6458783096327465,17,14410,7.0,0.8113660039497232,2,98,5.0,-0.03860750932158863,-5.6403665718842735
2018_NH,B,1.0,1.0,0.9309744607675244,3,327,4.0,0.6714223363481182,17,15421,7.0,0.7060004966409383,11,7240,4.0,-0.2595521244194062,-27.8796181159925
2018_NH,B,1.5,1.0,0.5587643444093138,9,5026,3.0,0.6714223363481182,17,16155,7.0,0.6847186093013385,5,1500,5.0,0.11265799193880444,20.16198654513264
2018_NH,B,13.0,1.0,0.7217208606090624,3,336,4.0,0.6438578016453154,17,15366,7.0,0.6466090138563906,11,7272,4.0,-0.07786305896374701,-10.788528254266911
2018_NH,B,13.5,1.0,0.6300371419351072,9,5075,3.0,0.6455278416598385,17,16084,7.0,0.801087570648875,5,1530,5.0,0.015490699724731272,2.4586962725963843
2018_NH,B,0.5,1.5,0.9309744607675244,3,327,4.0,0.6714223363481182,17,15421,7.0,0.7201690075821594,20,17954,6.0,-0.2595521244194062,-27.8796181159925
2018_NH,B,1.0,1.5,0.5587643444093138,9,5026,3.0,0.6714223363481182,17,16279,7.0,0.7060004966409383,17,13138,5.0,0.11265799193880444,20.16198654513264
2018_NH,B,1.5,1.5,0.5490831301712289,14,10429,3.0,0.6714223363481182,17,16279,7.0,0.7060004966409383,11,7240,4.0,0.12233920617688931,22.28063465339728
2018_NH,B,2.0,1.5,0.5765928937386005,20,15826,4.0,0.6714223363481182,17,16155,7.0,0.6847186093013385,5,1500,5.0,0.09482944260951776,16.446516014904073
2018_NH,B,12.5,1.5,0.7217208606090624,3,336,4.0,0.6438578016453154,17,15366,7.0,0.6479743678136758,19,17980,6.0,-0.07786305896374701,-10.788528254266911
2018_NH,B,13.0,1.5,0.6300371419351072,9,5075,3.0,0.6438578016453154,17,16203,7.0,0.6461392949826632,17,13179,5.0,0.013820659710208183,2.1936261833324884
2018_NH,B,13.5,1.5,0.6121728390780785,14,10567,3.0,0.6438578016453154,17,16203,7.0,0.6466090138563906,11,7272,4.0,0.03168496256723685,5.175819726819936
2018_NH,B,14.0,1.5,0.6250112836683897,20,15981,4.0,0.6455278416598385,17,16084,7.0,0.801087570648875,5,1530,5.0,0.020516557991448803,3.282590015180303
2018_NH,C,7.0,1.0,0.7279332066017744,4,1050,3.0,0.6592748191923499,17,15978,7.0,0.6627090322695337,9,4766,4.0,-0.06865838740942454,-9.431962546391297
2018_NH,C,7.5,1.0,0.691137014410641,10,6015,3.0,0.6592748191923499,17,15202,7.0,0.7038437835628779,3,331,5.0,-0.031862195218291145,-4.610112691686939
2018_NH,C,19.0,1.0,0.6305114961925455,5,1037,2.0,0.6429460331205781,17,15987,7.0,0.673592181732509,9,4773,4.0,0.012434536928032536,1.9721348465683293
2018_NH,C,19.5,1.0,0.6470284224209044,10,5995,3.0,0.633380381592161,17,15215,7.0,0.7612727344222181,3,338,5.0,-0.01364804082874338,-2.1093417778585724
2018_NH,C,6.5,1.5,0.7279332066017744,4,1050,3.0,0.6592748191923499,17,15978,7.0,0.6628028569699722,19,15910,6.0,-0.06865838740942454,-9.431962546391297
2018_NH,C,7.0,1.5,0.691137014410641,10,6015,3.0,0.6592748191923499,17,16299,7.0,0.6628028569699722,15,10347,4.0,-0.031862195218291145,-4.610112691686939
2018_NH,C,7.5,1.5,0.6768155393277417,15,11237,3.0,0.6592748191923499,17,16299,7.0,0.6627090322695337,9,4766,4.0,-0.017540720135391874,-2.591654463609758
2018_NH,C,8.0,1.5,0.6955861435835152,21,16387,4.0,0.6592748191923499,17,15202,7.0,0.7038437835628779,3,331,5.0,-0.036311324391165356,-5.220248379891089
2018_NH,C,18.5,1.5,0.6305114961925455,5,1037,2.0,0.6429460331205781,17,15987,7.0,0.7070766574695173,19,15906,6.0,0.012434536928032536,1.9721348465683293
2018_NH,C,19.0,1.5,0.6470284224209044,10,5995,3.0,0.6429460331205781,17,16319,7.0,0.6916766899904646,15,10351,4.0,-0.004082389300326339,-0.6309443540442596
2018_NH,C,19.5,1.5,0.6550558075188309,15,11214,3.0,0.6429460331205781,17,16319,7.0,0.673592181732509,9,4773,4.0,-0.012109774398252782,-1.848663008442172
2018_NH,C,20.0,1.5,0.6835530531850652,21,16365,4.0,0.633380381592161,17,15215,7.0,0.7612727344222181,3,338,5.0,-0.05017267159290417,-7.3399820773414675
2019_SH,A,4.0,1.0,0.6108097165978601,6,1932,15.5,0.43526200547481386,16,14898,7.5,0.4289140718745713,3,2767,3.0,-0.17554771112304624,-28.740163483453866
2019_SH,A,4.5,1.0,0.42622564850349964,12,7350,6.5,0.4456600662551714,16,14276,7.5,0.5603973280033502,3,597,3.0,0.019434417751671762,4.559654685237035
2019_SH,A,16.0,1.0,0.722875849256928,6,1950,15.5,0.5360300123135909,16,15114,7.5,0.5442583199156097,4,2893,3.0,-0.18684583694333712,-25.847569418096228
2019_SH,A,16.5,1.0,0.6002162275332146,12,7424,6.5,0.5287052104418206,16,14500,7.5,0.5205631418393084,3,604,3.0,-0.07151101709139396,-11.914209215117681
2019_SH,A,3.5,1.5,0.6108097165978601,6,1932,15.5,0.43526200547481386,16,14898,7.5,0.4289140718745713,3,2786,3.0,-0.17554771112304624,-28.740163483453866
