DATE,BSRN,ND,KP1,KP2,KP3,KP4,KP5,KP6,KP7,KP8,KP_SUM,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP_AVG,CP,C9,ISN,F10.7_OBS,F10.7_ADJ,F10.7_DATA_TYPE,F10.7_OBS_CENTER81,F10.7_OBS_LAST81,F10.7_ADJ_CENTER81,F10.7_ADJ_LAST81
2018-02-01,2516,25,27,3,3,3,3,0,13,13,67,12,2,2,2,2,0,5,5,4,0.1,0,0,69.0,67.0,OBS,70.8,71.4,68.9,69.3
2018-02-02,2516,26,20,10,7,7,7,3,3,0,57,7,4,3,3,3,2,2,0,3,0.1,0,0,68.8,66.8,OBS,70.7,71.4,68.8,69.2
2018-02-03,2516,27,3,3,10,10,3,3,17,13,63,2,2,4,4,2,2,6,5,3,0.1,0,0,69.2,67.3,OBS,70.6,71.3,68.7,69.1
2018-02-04,2517,1,7,0,0,3,3,10,23,10,57,3,0,0,2,2,4,9,4,3,0.1,0,11,73.0,71.0,OBS,70.5,71.3,68.7,69.1
2018-02-05,2517,2,27,20,20,17,30,23,10,3,150,12,7,7,6,15,9,4,2,8,0.4,2,13,74.0,72.0,OBS,70.5,71.3,68.7,69.1
2018-02-06,2517,3,3,23,13,17,13,0,7,13,90,2,9,5,6,5,0,3,5,4,0.2,1,16,76.9,74.8,OBS,70.4,71.3,68.7,69.1
2018-02-07,2517,4,3,3,7,10,17,0,0,0,40,2,2,3,4,6,0,0,0,2,0.0,0,20,76.6,74.6,OBS,70.4,71.3,68.7,69.1
2018-02-08,2517,5,0,10,7,7,3,0,3,13,43,0,4,3,3,2,0,2,5,2,0.0,0,22,77.5,75.5,OBS,70.4,71.3,68.7,69.2
2018-02-09,2517,6,13,27,7,0,0,0,3,23,73,5,12,3,0,0,0,2,9,4,0.1,0,25,78.1,76.1,OBS,70.4,71.4,68.7,69.2
2018-02-10,2517,7,10,23,13,23,20,13,13,7,123,4,9,5,9,7,5,5,3,6,0.3,1,25,78.2,76.2,OBS,70.4,71.4,68.7,69.3
2018-02-11,2517,8,7,0,3,3,3,7,3,0,27,3,0,2,2,2,3,2,0,2,0.0,0,28,78.2,76.2,OBS,70.3,71.5,68.7,69.3
2018-02-12,2517,9,0,10,17,3,3,3,17,7,60,0,4,6,2,2,2,6,3,3,0.1,0,25,78.6,76.6,OBS,70.3,71.6,68.7,69.4
2018-02-13,2517,10,0,7,7,3,3,3,3,7,33,0,3,3,2,2,2,2,3,2,0.0,0,23,75.9,74.1,OBS,70.3,71.6,68.7,69.4
2018-02-14,2517,11,10,0,0,0,0,0,10,13,33,4,0,0,0,0,0,4,5,2,0.0,0,20,75.3,73.4,OBS,70.3,71.6,68.7,69.5
2018-02-15,2517,12,10,0,20,10,23,47,30,27,167,4,0,7,4,9,39,15,12,11,0.6,3,16,72.5,70.8,OBS,70.3,71.6,68.7,69.4
2018-02-16,2517,13,23,23,23,13,7,13,17,23,143,9,9,9,5,3,5,6,9,7,0.3,1,12,71.5,69.8,OBS,70.3,71.6,68.7,69.4
2018-02-17,2517,14,30,37,30,13,30,17,10,23,190,15,22,15,5,15,6,4,9,11,0.7,3,0,69.0,67.4,OBS,70.2,71.5,68.7,69.4
2018-02-18,2517,15,40,20,23,20,30,37,23,23,217,27,7,9,7,15,22,9,9,13,0.8,4,0,70.3,68.7,OBS,70.2,71.5,68.7,69.3
2018-02-19,2517,16,40,40,23,17,27,20,40,27,233,27,27,9,6,12,7,27,12,16,0.9,4,0,69.1,67.5,OBS,70.2,71.5,68.7,69.3
2018-02-20,2517,17,27,0,3,3,13,10,3,0,60,12,0,2,2,5,4,2,0,3,0.1,0,0,70.5,68.9,OBS,70.2,71.5,68.7,69.3
2018-02-21,2517,18,0,0,7,20,3,3,7,3,43,0,0,3,7,2,2,3,2,2,0.0,0,0,67.6,66.1,OBS,70.2,71.4,68.7,69.3
2018-02-22,2517,19,17,13,7,17,23,27,37,33,173,6,5,3,6,9,12,22,18,10,0.6,3,0,69.7,68.2,OBS,70.1,71.4,68.7,69.3
2018-02-23,2517,20,17,37,30,43,13,20,33,27,220,6,22,15,32,5,7,18,12,15,0.8,4,0,70.0,68.5,OBS,70.1,71.4,68.7,69.3
2018-02-24,2517,21,33,33,27,17,13,3,3,10,140,18,18,12,6,5,2,2,4,8,0.5,2,0,70.0,68.6,OBS,70.0,71.5,68.7,69.3
