event,event_display,satellite,index,window_h,lag_h,slope,intercept,correlation,pre_days,ssw_days,residual_pre_median,residual_ssw_median,ssw_minus_pre_residual_pp
2018_NH,2017/2018 NH SSW,SWARM-A,ap30,6.0,6.0,0.007043594410949307,0.6580656574778122,0.4970790639965285,23,17,0.012499075074894894,-0.033820398124039586,-4.631947319893448
2018_NH,2017/2018 NH SSW,SWARM-B,ap30,6.0,6.0,0.010053112917804257,0.6059149238124211,0.5263134590579333,23,17,-0.025893086310885383,-0.02154518092098462,0.43479053899007636
2018_NH,2017/2018 NH SSW,SWARM-C,ap30,6.0,6.0,0.007306891519037036,0.6520960257342927,0.5176285192951476,23,17,0.008636342591551549,-0.036164162704956926,-4.480050529650848
2018_2019_NH,2018/2019 NH major SSW,SWARM-A,ap30,6.0,6.0,0.008256832278225297,0.5454541131109937,0.574244539578633,23,19,0.017086935949112814,-0.02583005060161231,-4.291698655072512
2018_2019_NH,2018/2019 NH major SSW,SWARM-B,ap30,6.0,6.0,0.0076197225396923834,0.5660805729012065,0.460108948228259,23,19,0.006627617475673531,-0.037740144895471506,-4.436776237114504
2018_2019_NH,2018/2019 NH major SSW,SWARM-C,ap30,6.0,6.0,0.008268712119242827,0.5402453391962475,0.5638371212617422,23,19,0.021158765085538378,-0.029151471223383685,-5.031023630892206
2019_SH,2019 SH SSW,SWARM-A,ap30,6.0,6.0,0.007165475798033944,0.4685397278813979,0.6934828232228873,30,17,-0.024310313730669164,0.0207820502448397,4.509236397550886
2019_SH,2019 SH SSW,SWARM-B,ap30,6.0,6.0,0.007232954323267076,0.44474084022546845,0.5911763075525118,30,17,-0.028248051686105474,0.038723710797686994,6.697176248379247
2019_SH,2019 SH SSW,SWARM-C,ap30,6.0,6.0,0.0073403926825732916,0.46360346034973526,0.7020196116568507,30,17,-0.023581964550892523,0.02629981837845108,4.98817829293436
2021_NH,2020/2021 NH SSW,SWARM-A,ap30,6.0,6.0,0.012651905297817746,0.6932981568080498,0.59507931826101,10,13,0.018872831707372834,-0.05575289762585728,-7.4625729333230115
2021_NH,2020/2021 NH SSW,SWARM-B,ap30,6.0,6.0,0.012174001455838168,0.6883411352542875,0.5712891457967009,10,13,-0.0028613032122487836,-0.05578742527042968,-5.29261220581809
2021_NH,2020/2021 NH SSW,SWARM-C,ap30,6.0,6.0,0.012753858768614883,0.6926128532760825,0.5922428907255406,10,13,0.020378852599151065,-0.05393811006465521,-7.431696266380627
2021_NH,2020/2021 NH SSW,GRACE-FO,ap30,6.0,6.0,0.013605231700848463,0.7088887593134595,0.5835147733485343,10,13,-0.000595865043243049,-0.059014323747688446,-5.84184587044454
