event,platform,reference_model,geomagnetic_index,data_status,source_file,canonical_file
2017-2018_NH_SSW,SWARM-A,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2018_NH_SWARM_A_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2017-2018_NH_SSW/2017-2018_NH_SSW__SWARM-A__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2017-2018_NH_SSW,SWARM-B,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2018_NH_SWARM_B_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2017-2018_NH_SSW/2017-2018_NH_SSW__SWARM-B__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2017-2018_NH_SSW,SWARM-C,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2018_NH_SWARM_C_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2017-2018_NH_SSW/2017-2018_NH_SSW__SWARM-C__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2019_SH_SSW,SWARM-A,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2019_SH_SWARM_A_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2019_SH_SSW/2019_SH_SSW__SWARM-A__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2019_SH_SSW,SWARM-B,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2019_SH_SWARM_B_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2019_SH_SSW/2019_SH_SSW__SWARM-B__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2019_SH_SSW,SWARM-C,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2019_SH_SWARM_C_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2019_SH_SSW/2019_SH_SSW__SWARM-C__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2020-2021_NH_SSW,SWARM-A,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2021_NH_SWARM_A_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2020-2021_NH_SSW/2020-2021_NH_SSW__SWARM-A__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2020-2021_NH_SSW,SWARM-B,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2021_NH_SWARM_B_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2020-2021_NH_SSW/2020-2021_NH_SSW__SWARM-B__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2020-2021_NH_SSW,SWARM-C,standardized MSIS,daily Ap,formal standardized product,reports/standardized_daily_Ap_linear_detrending/SSW_2021_NH_SWARM_C_density_ratio_msis_daily_Ap_linear_detrended.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2020-2021_NH_SSW/2020-2021_NH_SSW__SWARM-C__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
2018-2019_NH_SSW,SWARM-A,standardized MSIS,daily Ap,formal standardized product,reports/2018_2019_NH_SSW/three_index_linear_detrending/figures/SSW_2018_2019_NH_SWARM_A_daily_Ap.png,reports/density_ratio_residual_figures/standardized_MSIS/event_window_daily_Ap/2018-2019_NH_SSW/2018-2019_NH_SSW__SWARM-A__standardized-MSIS-density-ratio__daily-Ap__linear-detrended__latitude-time.png
