event,event_file_tag,central_date,platform,geomagnetic_index,window_h,lag_h,source_figure,collected_figure,sha256
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-A,ap-3hour,24,0,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_A_ap_3hour.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-A_ap-3hour_linear-detrending.png,f490378fa92d88634e2868b61fe2a6f3f74b1eedbbdbd1c75cbf9d728c861b29
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-A,ap30-30min,6,6,reports/ap30_linear_detrending_all_ssw/figures/2017-2018_NH_SSW_SWARM-A_ap30_linear_detrending.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-A_ap30-30min_linear-detrending.png,aae6254b2c40ffdf3ed9ec41ea98e6abdb466af00c4ab0e598d6bbe45ced4338
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-A,ap60-1hour,24,1,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_A_ap60_1hour.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-A_ap60-1hour_linear-detrending.png,e532b72a11680ef516446bd54f8a31a2cff4c5d453b412a9a0abff11bbe3b0ba
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-A,daily-Ap,24,0,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_A_daily_Ap.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-A_daily-Ap_linear-detrending.png,64d89a307df73c541bf27dac078470ebca2b968f97863daf16a65789e77e73c6
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-B,ap-3hour,24,0,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_B_ap_3hour.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-B_ap-3hour_linear-detrending.png,df8bf343c0a609ea35ff662151dda49f0280cc94e00363f587f5c9e20f16f5ba
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-B,ap30-30min,6,6,reports/ap30_linear_detrending_all_ssw/figures/2017-2018_NH_SSW_SWARM-B_ap30_linear_detrending.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-B_ap30-30min_linear-detrending.png,f473079a1d12c377b1b72925de99469a400cbc308570ae9d277acdc49664e68a
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-B,ap60-1hour,24,1,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_B_ap60_1hour.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-B_ap60-1hour_linear-detrending.png,466e2498f1d470c01f8de2698aa248f9ddc2359df1e19eddee97618c1b221a80
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-B,daily-Ap,24,0,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_B_daily_Ap.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-B_daily-Ap_linear-detrending.png,e2e12b4ee6b90833916e820ba215a187169077352fb7f76f643104f690a880ea
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-C,ap-3hour,24,0,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_C_ap_3hour.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-C_ap-3hour_linear-detrending.png,046bffb1b680f6054e26337fd26734a58e45319a44b55389e04c7127d6f7442a
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-C,ap30-30min,6,6,reports/ap30_linear_detrending_all_ssw/figures/2017-2018_NH_SSW_SWARM-C_ap30_linear_detrending.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-C_ap30-30min_linear-detrending.png,3fa197de75393884840118828c31cc5f3d31665a65e75c3ef932ea15df7cb419
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-C,ap60-1hour,24,1,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_C_ap60_1hour.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-C_ap60-1hour_linear-detrending.png,9286f1c192a0d58e15209fc7aeb0476a5a07c6d06b26837d9288f89b40491aea
2017/2018 NH SSW,2017-2018_NH_SSW,2018-02-12,SWARM-C,daily-Ap,24,0,reports/daily_Ap_ap_ap60_linear_detrending/figures/SSW_2018_NH_SWARM_C_daily_Ap.png,reports/linear_detrending/figures/2017-2018_NH_SSW_SWARM-C_daily-Ap_linear-detrending.png,896a729fc6d158cde67b5e078b34e10285ae6d3691bfd86220a059643ecd8fd9
