event,platform,geomagnetic_method,window_h,lag_h,slope,intercept,correlation,pre_days,ssw_days,residual_pre_median,residual_ssw_median,ssw_minus_pre_residual_pp
2017/2018 NH SSW,SWARM-A,ap-3hour,24.0,0.0,0.0102553353906088,0.636165676890896,0.5803471620694369,23,17,0.0217268543737325,-0.0397661652771154,-6.149301965084797
2017/2018 NH SSW,SWARM-A,ap30-30min,6.0,6.0,0.0070435944109493,0.6580656574778122,0.4970790639965285,23,17,0.0124990750748948,-0.0338203981240395,-4.631947319893448
2017/2018 NH SSW,SWARM-A,ap60-1hour,24.0,1.0,0.0105744175191874,0.6325949040696088,0.5910577190520099,23,17,0.0261759270941352,-0.0423882967520927,-6.856422384622801
2017/2018 NH SSW,SWARM-A,daily-Ap,24.0,0.0,0.0068007474778684,0.6606089279551283,0.3646135635424415,23,17,0.0195067714038735,-0.0287522606501703,-4.8259032054043915
2017/2018 NH SSW,SWARM-B,ap-3hour,24.0,0.0,0.0148143027553767,0.5734251602988145,0.6218604154041124,23,17,-0.005410660435118,-0.016607160066407,-1.1196499631288992
2017/2018 NH SSW,SWARM-B,ap30-30min,6.0,6.0,0.0100531129178042,0.6059149238124211,0.5263134590579333,23,17,-0.0258930863108853,-0.0215451809209846,0.4347905389900763
2017/2018 NH SSW,SWARM-B,ap60-1hour,24.0,1.0,0.0150108792394374,0.5701588550158553,0.6223766208080725,23,17,-0.0055079976034082,-0.0214449631764372,-1.5936965573029038
2017/2018 NH SSW,SWARM-B,daily-Ap,24.0,0.0,0.0123995987952803,0.5906838470992913,0.4931255490706303,23,17,-0.0243751279130917,-0.0208552372078475,0.3519890705244166
2017/2018 NH SSW,SWARM-C,ap-3hour,24.0,0.0,0.010454736076665,0.6306707842767862,0.5938892656015514,23,17,0.018001047950498,-0.0429359654937363,-6.093701344423436
2017/2018 NH SSW,SWARM-C,ap30-30min,6.0,6.0,0.007306891519037,0.6520960257342927,0.5176285192951476,23,17,0.0086363425915515,-0.0361641627049569,-4.480050529650848
2017/2018 NH SSW,SWARM-C,ap60-1hour,24.0,1.0,0.0107255088030441,0.6274207092552818,0.60179108245925,23,17,0.0202798711891007,-0.0434560134534234,-6.373588464252422
2017/2018 NH SSW,SWARM-C,daily-Ap,24.0,0.0,0.0070955906679424,0.6544496601304872,0.3818731554683769,23,17,0.0100032711192398,-0.0363007263024698,-4.630399742170965
2018/2019 NH SSW,SWARM-A,ap-3hour,24.0,0.0,0.0109198787585081,0.5317190022857794,0.6309556180648936,23,19,0.0177092337046369,-0.0238557624034954,-4.156499610813236
2018/2019 NH SSW,SWARM-A,ap30-30min,6.0,6.0,0.0082568322782252,0.5454541131109937,0.574244539578633,23,19,0.0170869359491128,-0.0258300506016123,-4.291698655072512
2018/2019 NH SSW,SWARM-A,ap60-1hour,24.0,1.0,0.0110346021428697,0.5267787758723057,0.6532423475930949,23,19,0.0165456576515696,-0.0234162825512457,-3.9961940202815462
2018/2019 NH SSW,SWARM-A,daily-Ap,24.0,0.0,0.0082147052213891,0.548936212661344,0.4720868900950927,23,19,0.0276944398385361,-0.0227364193419741,-5.043085918051032
2018/2019 NH SSW,SWARM-B,ap-3hour,24.0,0.0,0.0094258964029871,0.5573999559385003,0.4727359524209993,23,19,0.0144015632971502,-0.0365737248499035,-5.0975288147053766
2018/2019 NH SSW,SWARM-B,ap30-30min,6.0,6.0,0.0076197225396923,0.5660805729012065,0.460108948228259,23,19,0.0066276174756735,-0.0377401448954715,-4.436776237114504
2018/2019 NH SSW,SWARM-B,ap60-1hour,24.0,1.0,0.0095735867404673,0.5528133374218186,0.4919315601388072,23,19,0.0144923202720068,-0.0351464602174684,-4.963878048947534
2018/2019 NH SSW,SWARM-B,daily-Ap,24.0,0.0,0.0074378131690673,0.5702417172828511,0.3704767952800016,23,19,-0.0001053915677,-0.0404529265598079,-4.034753499210786
2018/2019 NH SSW,SWARM-C,ap-3hour,24.0,0.0,0.0109877175829528,0.5261685760624387,0.6224632446130302,23,19,0.0203723550240405,-0.028054819755502,-4.842717477954256
2018/2019 NH SSW,SWARM-C,ap30-30min,6.0,6.0,0.0082687121192428,0.5402453391962475,0.5638371212617422,23,19,0.0211587650855383,-0.0291514712233836,-5.031023630892206
2018/2019 NH SSW,SWARM-C,ap60-1hour,24.0,1.0,0.011121850161219,0.521074359855066,0.6455260482338286,23,19,0.0195461083875446,-0.024712169565909,-4.425827795345372
2018/2019 NH SSW,SWARM-C,daily-Ap,24.0,0.0,0.008272954113104,0.5434487653146257,0.4661393869985539,23,19,0.0226821932898081,-0.0224277009225675,-4.510989421237571
2019 SH SSW,SWARM-A,ap-3hour,24.0,0.0,0.0083002001530703,0.4599894788702385,0.7435431664138495,15,16,-0.0384756381308062,-0.0147020421217127,2.3773596009093527
2019 SH SSW,SWARM-A,ap30-30min,6.0,6.0,0.0071654757980339,0.4685397278813979,0.6934828232228873,30,17,-0.0243103137306691,0.0207820502448397,4.509236397550886
2019 SH SSW,SWARM-A,ap60-1hour,24.0,1.0,0.0085254024603345,0.4558234974628022,0.7401267964246506,15,16,-0.0396312113716119,-0.0148497243032627,2.478148706834926
2019 SH SSW,SWARM-A,daily-Ap,24.0,0.0,0.0067499777901275,0.473235947769961,0.5977238429380629,15,16,-0.0454506697818959,-0.0162824866671296,2.9168183114766295
2019 SH SSW,SWARM-B,ap-3hour,24.0,0.0,0.0084103993358122,0.4358493464271283,0.6350137315882938,15,16,-0.0541717791063199,-0.0151250965726581,3.904668253366184
2019 SH SSW,SWARM-B,ap30-30min,6.0,6.0,0.007232954323267,0.4447408402254684,0.5911763075525118,30,17,-0.0282480516861054,0.0387237107976869,6.697176248379247
2019 SH SSW,SWARM-B,ap60-1hour,24.0,1.0,0.008602313685337,0.4319661418928393,0.6293110194122099,15,16,-0.0536941078047191,-0.0192704168609307,3.4423690943788414
2019 SH SSW,SWARM-B,daily-Ap,24.0,0.0,0.0073252080806218,0.4450403617651977,0.546294942865393,15,16,-0.0702322274448822,-0.0183738860732366,5.185834137164563
2019 SH SSW,SWARM-C,ap-3hour,24.0,0.0,0.0084859013518026,0.4550319665761634,0.7507233691459235,15,16,-0.0383851490112271,-0.0074858577701251,3.0899291241101996
2019 SH SSW,SWARM-C,ap30-30min,6.0,6.0,0.0073403926825732,0.4636034603497352,0.7020196116568507,30,17,-0.0235819645508925,0.026299818378451,4.98817829293436
2019 SH SSW,SWARM-C,ap60-1hour,24.0,1.0,0.0087215722057685,0.450734891780468,0.7476971275830089,15,16,-0.0375189475841944,-0.0082698177120673,2.924912987212716
2019 SH SSW,SWARM-C,daily-Ap,24.0,0.0,0.0069042411442648,0.4686497886216106,0.6033073590435517,15,16,-0.0473839190859979,-0.0109995876806463,3.63843314053516
2020/2021 NH SSW,GRACE-FO,ap-3hour,24.0,0.0,0.0198770925842248,0.6838099643603908,0.6426656563034492,10,13,0.0045083784906067,-0.0637704712581478,-6.827884974875465
2020/2021 NH SSW,GRACE-FO,ap30-30min,6.0,6.0,0.0136052317008484,0.7088887593134595,0.5835147733485343,10,13,-0.000595865043243,-0.0590143237476884,-5.84184587044454
2020/2021 NH SSW,GRACE-FO,ap60-1hour,24.0,1.0,0.0196864542115634,0.6741741809986062,0.6738236740091232,10,13,0.0004479378640126,-0.0632640305057563,-6.371196836976894
2020/2021 NH SSW,GRACE-FO,daily-Ap,24.0,0.0,0.0158523771549589,0.7050410746502522,0.4912538220463132,10,13,0.0098942467951776,-0.0482946503047831,-5.818889709996084
2020/2021 NH SSW,SWARM-A,ap-3hour,24.0,0.0,0.0180370782711386,0.6722448985784893,0.6395454773486972,10,13,0.0092169159384758,-0.072590950297364,-8.180786623583982
2020/2021 NH SSW,SWARM-A,ap30-30min,6.0,6.0,0.0126519052978177,0.6932981568080498,0.59507931826101,10,13,0.0188728317073728,-0.0557528976258572,-7.4625729333230115
2020/2021 NH SSW,SWARM-A,ap60-1hour,24.0,1.0,0.0179121632726787,0.663231363773928,0.6723568197210309,10,13,0.00514921966064,-0.0683188141563357,-7.346803381697578
2020/2021 NH SSW,SWARM-A,daily-Ap,24.0,0.0,0.0159883318012021,0.683461012802016,0.5433600561444111,10,13,0.0146218160402447,-0.0579525818171796,-7.25743978574244
2020/2021 NH SSW,SWARM-B,ap-3hour,24.0,0.0,0.0167822947759463,0.6709858088801433,0.5936812716602372,10,13,0.0048763842275649,-0.0651742335934373,-7.00506178210023
2020/2021 NH SSW,SWARM-B,ap30-30min,6.0,6.0,0.0121740014558381,0.6883411352542875,0.5712891457967009,10,13,-0.0028613032122487,-0.0557874252704296,-5.29261220581809
2020/2021 NH SSW,SWARM-B,ap60-1hour,24.0,1.0,0.0165308253014189,0.6633521031628097,0.6191020380038915,10,13,0.0064718580443257,-0.0581007928268501,-6.45726508711758
2020/2021 NH SSW,SWARM-B,daily-Ap,24.0,0.0,0.0149561150911175,0.6810198148335518,0.5071075968918795,10,13,0.0148596083965089,-0.0573923375735229,-7.22519459700319
2020/2021 NH SSW,SWARM-C,ap-3hour,24.0,0.0,0.0182395777901409,0.6711000764788936,0.6384977212457034,10,13,0.0155953290161047,-0.0716201817468349,-8.721551076293965
2020/2021 NH SSW,SWARM-C,ap30-30min,6.0,6.0,0.0127538587686148,0.6926128532760825,0.5922428907255406,10,13,0.020378852599151,-0.0539381100646552,-7.431696266380627
2020/2021 NH SSW,SWARM-C,ap60-1hour,24.0,1.0,0.0181106844642523,0.661999800395798,0.6711598487070843,10,13,0.0108180124770025,-0.0710978430725104,-8.1915855549513
2020/2021 NH SSW,SWARM-C,daily-Ap,24.0,0.0,0.0161950539054066,0.6823054405914266,0.5433832949312808,10,13,0.0209338003414876,-0.0581965625481765,-7.913036288966413
